# pmichel : Magniture<5, no other restrictions
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-08-17T22:04:08 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.91 (20-Jun-2012)	
#INFO	-ref=VIZ502eb7e02d25	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/109&tab:{V/109/sky2kv4}&key:source=V/109/sky2kv4&HTTPPRM:&-ref=VIZ502eb7e02d25&-file=.&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=SKY2000&-out=HD&-out=Name&-out=Vname&-out=RAJ2000&-sort=RAJ2000&-out=DEJ2000&-out=Vmag&Vmag=3&-out=B-V&-out=U-B&-out=Sp&-ignore=Simbad=*&Simbad=Simbad&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.max=9999&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/109/sky2kv4
#-order=I
#-out=Name
#-out=Vname
#-out=RAJ2000
#-sort=RAJ2000
#-out=DEJ2000
#-out=Vmag
#Vmag=<5
#-out=B-V
#-out=v-mag1
#-out=v-mag2
#Simbad=Simbad
#

#RESOURCE=yCat_5109
#Name: V/109
#Title: SKY2000 Catalog, Version 4 (Myers+ 2002)
#Table	V_109_sky2kv4:
#Name: V/109/sky2kv4
#Title: The Sky2000 Version 4 Catalogue
#Column	Name	(a10)	Star name (or AGK3 number)	[ucd=meta.id]
#Column	Vname	(a10)	Variable star name (or doubtful variability)	[ucd=meta.id]
#Column	RAJ2000	(A13)	Right ascension (J2000) hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	?Observed visual magnitude (V or v)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color (observed)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	v-mag1	(F6.3)	?v - passband #1 color	[ucd=phot.color]
#Column	v-mag2	(F6.3)	?v - passband #2 color	[ucd=phot.color]
Name;Vname;RAJ2000;DEJ2000;Vmag;B-V;v-mag1;v-mag2
 38nu  Tau;          ;04 03 09.3800;+05 59 21.498; 3.900; 0.044; 0.008; 0.080
 37    Tau;          ;04 04 41.7156;+22 04 54.932; 4.350; 1.072; 0.754; 1.320
 47lam Per;          ;04 06 35.0434;+50 21 04.543; 4.280;-0.005; 0.017; 0.100
 48    Per;MX    Per ;04 08 39.6908;+47 42 45.046; 4.010;-0.039; 0.090; 0.100
   del Hor;          ;04 10 50.5885;-41 59 36.889; 4.930; 0.335; 0.350; 0.560
 38omi1Eri;omi 1 Eri ;04 11 51.9402;-06 50 15.292; 4.040; 0.344; 0.270; 0.470
 47    Tau;          ;04 13 56.3854;+09 15 49.767; 4.890; 0.839; 0.627; 1.110
   alp Hor;          ;04 14 00.1143;-42 17 39.725; 3.860; 1.093; 0.860; 1.450
 39    Eri;          ;04 14 23.6886;-10 15 22.619; 4.900; 1.173; 0.835; 1.420
   alp Ret;          ;04 14 25.4837;-62 28 25.889; 3.340; 0.906; 0.650; 1.090
 52    Per;          ;04 14 53.3176;+40 29 01.217; 4.700; 1.010; 0.750; 1.370
 51mu  Per;  1518    ;04 14 53.8622;+48 24 33.591; 4.150; 0.930; 0.740; 1.320
 40omi2Eri; 15931    ;04 15 16.3200;-07 39 10.336; 4.420; 0.820; 0.663; 1.140
 49mu  Tau;          ;04 15 32.0573;+08 53 32.485; 4.290;-0.069;-0.016;-0.040
   gam Dor;gam   Dor ;04 16 01.5856;-51 29 11.933; 4.260; 0.317; 0.270; 0.430
   eps Ret;          ;04 16 29.0287;-59 18 07.763; 4.440; 1.075; 0.820; 1.350
 50ome2Tau; 15938    ;04 17 15.6607;+20 34 42.928; 4.920; 0.272; 0.199; 0.380
 41ups4Eri; 15947    ;04 17 53.6623;-33 47 54.052; 3.560;-0.098;-0.010;-0.120
          ;b     Per ;04 18 14.6180;+50 17 43.808; 4.600; 0.053; 0.057; 0.200
 54gam Tau;  1553    ;04 19 47.6037;+15 37 39.512; 3.650; 0.983; 0.695; 1.190
 52phi Tau;          ;04 20 21.2157;+27 21 02.713; 4.950; 1.149; 0.858;
 54    Per;          ;04 20 24.6384;+34 34 00.211; 4.930; 0.946; 0.693;
 53    Per;V0469 Per ;04 21 33.1668;+46 29 55.960; 4.820;-0.050; 0.006; 0.040
 61del1Tau;  1582    ;04 22 56.0933;+17 32 33.051; 3.760; 0.989; 0.693; 1.200
 43    Eri;          ;04 24 02.2173;-34 01 00.647; 3.960; 1.478; 1.170; 2.000
 64del2Tau;          ;04 24 05.7610;+17 26 38.869; 4.800; 0.169; 0.124; 0.230
 65kap1Tau;  1593    ;04 25 22.1653;+22 17 37.945; 4.210; 0.152; 0.096; 0.210
 68del3Tau;V0776 Tau ;04 25 29.3838;+17 55 40.477; 4.310; 0.055; 0.031; 0.100
 69ups Tau;ups   Tau ;04 26 18.4635;+22 48 48.897; 4.290; 0.274; 0.231; 0.410
 71    Tau;V0777 Tau ;04 26 20.7412;+15 37 05.755; 4.490; 0.258; 0.220; 0.420
 73pi  Tau; 15993    ;04 26 36.3722;+14 42 49.615; 4.690; 0.971; 0.712; 1.230
 75    Tau;  1609    ;04 28 26.3701;+16 21 34.820; 4.970; 1.139; 0.835;
 77the1Tau; 16016    ;04 28 34.4959;+15 57 43.851; 3.840; 0.951; 0.689; 1.180
 74eps Tau;          ;04 28 36.9995;+19 10 49.554; 3.540; 1.014; 0.708; 1.230
 78the2Tau;the 2 Tau ;04 28 39.7408;+15 52 15.178; 3.410; 0.200; 0.142; 0.270
          ;  1627    ;04 30 33.6329;+16 11 38.452; 4.770; 0.191; 0.123; 0.240
 45    Eri;          ;04 31 52.6673;-00 02 38.440; 4.900; 1.335; 0.923; 1.620
 50ups1Eri;  1650    ;04 33 30.5527;-29 45 59.371; 4.510; 0.973; 0.750; 1.290
 86rho Tau;rho   Tau ;04 33 50.9178;+14 50 39.928; 4.650; 0.249; 0.196; 0.360
   alp Dor;alp   Dor ;04 33 59.7776;-55 02 41.909; 3.260;-0.079;-0.010;-0.100
 52ups2Eri;          ;04 35 33.0386;-30 33 44.429; 3.810; 0.960; 0.750; 1.240
 88    Tau;  1658    ;04 35 39.2611;+10 09 38.821; 4.250; 0.178; 0.138; 0.260
 87alp Tau;alp   Tau ;04 35 55.2387;+16 30 33.485; 0.990; 1.480; 1.201; 2.170
 48nu  Eri;nu    Eri ;04 36 19.1416;-03 21 08.853; 3.930;-0.187;-0.135;-0.290
 58    Per;          ;04 36 41.4294;+41 15 53.309; 4.250; 1.169; 0.914; 1.640
 90    Tau;          ;04 38 09.4625;+12 30 39.017; 4.270; 0.133; 0.089; 0.190
 53    Eri;          ;04 38 10.8241;-14 18 14.471; 3.870; 1.098; 0.816; 1.400
 92sig2Tau;          ;04 39 16.5018;+15 55 04.716; 4.670; 0.166; 0.128; 0.250
 54    Eri;DM    Eri ;04 40 26.5114;-19 40 17.374; 4.340; 1.556; 1.561; 2.870
   alp Cae; 16147    ;04 40 33.7125;-41 51 49.509; 4.450; 0.332; 0.340; 0.550
 94tau Tau;          ;04 42 14.7007;+22 57 24.943; 4.270;-0.116;-0.089;-0.170
 57mu  Eri;          ;04 45 30.1511;-03 15 16.767; 4.020;-0.133;-0.088;-0.200
  1pi 3Ori;  1731    ;04 49 50.4106;+06 57 40.592; 3.190; 0.474; 0.394; 0.670
          ;          ;04 49 54.6383;+37 29 17.789; 4.870; 1.451; 1.105; 1.940
  2pi 2Ori;          ;04 50 36.7218;+08 54 00.633; 4.360; 0.018; 0.023; 0.060
  3pi 4Ori;  1742    ;04 51 12.3639;+05 36 18.374; 3.680;-0.159;-0.099;-0.220
  4omi1Ori;omi 1 Ori ;04 52 31.9621;+14 15 02.311; 4.740; 1.750; 1.743;
  2    Aur;          ;04 52 37.9803;+36 42 11.473; 4.780; 1.399; 1.045; 1.870
 61ome Eri;          ;04 52 53.6698;-05 27 09.702; 4.380; 0.264; 0.240; 0.460
  9alp Cam; 16180    ;04 54 03.0113;+66 20 33.641; 4.310;-0.014; 0.085; 0.110
  8pi 5Ori;pi  5 Ori ;04 54 15.0965;+02 26 26.419; 3.710;-0.173;-0.111;-0.260
  7pi 1Ori;          ;04 54 53.7279;+10 09 02.999; 4.660; 0.081; 0.050; 0.140
  9omi2Ori;          ;04 56 22.2744;+13 30 52.077; 4.080; 1.163; 0.854; 1.510
  3iot Aur;  1778    ;04 56 59.6188;+33 09 57.925; 2.680; 1.520; 1.069; 1.880
  7    Cam; 16198    ;04 57 17.1966;+53 45 07.564; 4.460;-0.010; 0.006; 0.080
 10pi 6Ori;  1786    ;04 58 32.9019;+01 42 50.457; 4.460; 1.386; 0.968; 1.760
  4ome Aur; 16207    ;04 59 15.4096;+37 53 24.881; 4.990; 0.018; 0.022; 0.080
 64    Eri;S     Eri ;04 59 55.7372;-12 32 14.696; 4.780; 0.273; 0.245; 0.420
          ;          ;05 01 25.5806;-20 03 06.906; 4.900;-0.045; 0.020;-0.030
 65psi Eri; 16224    ;05 01 26.3448;-07 10 26.276; 4.790;-0.167;-0.120;-0.270
  7eps Aur;eps   Aur ;05 01 58.1342;+43 49 23.910; 3.030; 0.529; 0.481; 0.970
  8zet Aur;zet   Aur ;05 02 28.6869;+41 04 33.015; 3.760; 1.152; 1.111; 2.000
102iot Tau;          ;05 03 05.7473;+21 35 23.865; 4.620; 0.165; 0.110; 0.250
 10bet Cam; 16223    ;05 03 25.0901;+60 26 32.084; 4.030; 0.888; 0.668; 1.140
   gam1Cae;          ;05 04 24.4021;-35 28 58.722; 4.570; 1.211; 0.910; 1.560
 11    Ori;V1032 Ori ;05 04 34.1495;+15 24 14.779; 4.670;-0.053;-0.013; 0.020
  2eps Lep;  1826    ;05 05 27.6642;-22 22 15.717; 3.180; 1.470; 1.105; 1.910
   zet Dor;          ;05 05 30.6558;-57 28 21.734; 4.710; 0.515; 0.480; 0.770
 10eta Aur;  1822    ;05 06 30.8928;+41 14 04.108; 3.170;-0.152;-0.117;-0.220
  9    Aur;V0398 Aur ;05 06 40.6308;+51 35 51.793; 4.980; 0.329; 0.301; 0.510
104    Tau;          ;05 07 27.0061;+18 38 42.188; 4.920; 0.646; 0.530;
 67bet Eri;  1841    ;05 07 50.9851;-05 05 11.206; 2.790; 0.151; 0.107; 0.220
 69lam Eri;lam   Eri ;05 09 08.7830;-08 45 14.691; 4.260;-0.189;-0.113;-0.280
 15    Ori;          ;05 09 41.9551;+15 35 50.036; 4.820; 0.319; 0.285; 0.510
  3iot Lep;          ;05 12 17.9023;-11 52 09.188; 4.470;-0.095;-0.054;-0.110
  5mu  Lep;mu    Lep ;05 12 55.9008;-16 12 19.686; 3.290;-0.095;-0.010;-0.470
  4kap Lep; 16265    ;05 13 13.8777;-12 56 28.650; 4.430;-0.098;-0.047;-0.100
 17rho Ori;  1872    ;05 13 17.4814;+02 51 40.556; 4.480; 1.215; 0.823; 1.440
 11mu  Aur;          ;05 13 25.7177;+38 29 04.193; 4.830; 0.203; 0.143; 0.280
   the Dor;          ;05 13 45.4542;-67 11 06.918; 4.800; 1.293; 0.930; 1.560
 19bet Ori;bet   Ori ;05 14 32.2723;-08 12 05.906; 0.280; 0.023; 0.018;-0.020
 14    Aur;KW    Aur ;05 15 24.3929;+32 41 15.361; 4.990; 0.210; 0.315;
 13alp Aur;  1897    ;05 16 41.3591;+45 59 52.768; 0.080; 0.795; 0.590; 1.040
   omi Col;          ;05 17 29.0900;-34 53 42.747; 4.820; 0.988; 0.740; 1.290
 20tau Ori;          ;05 17 36.3899;-06 50 39.874; 3.600;-0.110;-0.067;-0.130
 16    Aur;  1909    ;05 18 10.5690;+33 22 17.806; 4.540; 1.262; 0.959; 1.690
 15lam Aur;          ;05 19 08.4744;+40 05 56.586; 4.690; 0.626; 0.499; 0.850
109    Tau;          ;05 19 16.6022;+22 05 47.378; 4.950; 0.942; 0.684;
  6lam Lep;          ;05 19 34.5245;-13 10 36.439; 4.280;-0.236;-0.173;-0.400
          ;  1940    ;05 20 26.9185;-21 14 23.148; 4.740;-0.047; 0.050; 0.000
 22    Ori; 16291    ;05 21 45.7479;-00 22 56.875; 4.720;-0.164;-0.106;-0.230
 23    Ori; 16294    ;05 22 50.0001;+03 32 40.029; 4.980;-0.157;-0.091;-0.230
 29    Ori;          ;05 23 56.8282;-07 48 29.032; 4.140; 0.955; 0.714; 1.220
 28eta Ori;eta   Ori ;05 24 28.6167;-02 23 49.726; 3.390;-0.171;-0.110;-0.320
 21sig Aur;          ;05 24 39.1419;+37 23 07.244; 4.990; 1.444; 1.036;
 25psi1Ori;V1086 Ori ;05 24 44.8266;+01 50 47.201; 4.890;-0.179;-0.049;-0.300
 24gam Ori;  1972    ;05 25 07.8631;+06 20 58.928; 1.660;-0.142;-0.152;-0.310
112bet Tau;          ;05 26 17.5134;+28 36 26.820; 1.680;-0.059;-0.083;-0.110
 30psi2Ori;psi   Ori ;05 26 50.2284;+03 05 44.428; 4.610;-0.208;-0.146;-0.320
114    Tau;          ;05 27 38.0851;+21 56 13.075; 4.880;-0.142;-0.094;-0.200
  9bet Lep;          ;05 28 14.7232;-20 45 33.988; 2.840; 0.821; 0.632; 1.090
 31    Ori;CI    Ori ;05 29 43.9817;-01 05 32.060; 4.700; 1.570; 1.223;
 32    Ori;          ;05 30 47.0518;+05 56 53.301; 4.230;-0.134;-0.106;-0.200
   eps Col;          ;05 31 12.7558;-35 28 13.868; 3.870; 1.138; 0.820; 1.420
 36ups Ori; 16333    ;05 31 55.8600;-07 18 05.533; 4.610;-0.252;-0.180;-0.380
 34del Ori;del   Ori ;05 32 00.3982;-00 17 56.686; 2.230;-0.166;-0.147;-0.300
119    Tau;CE    Tau ;05 32 12.7510;+18 35 39.243; 4.360; 2.034; 1.743; 3.220
 25chi Aur; 16332    ;05 32 43.6730;+32 11 31.278; 4.740; 0.274; 0.341; 0.640
 11alp Lep;          ;05 32 43.8159;-17 49 20.239; 2.590; 0.238; 0.214; 0.430
   bet Dor;bet   Dor ;05 33 37.5177;-62 29 23.371; 3.760; 0.807; 0.210; 0.340
 37phi1Ori;          ;05 34 49.2371;+09 29 22.485; 4.410;-0.169;-0.085;-0.180
          ;          ;05 35 02.6815;-06 00 07.297; 4.760;-0.235;-0.174;-0.350
 39lam Ori;          ;05 35 08.2771;+09 56 02.970; 3.390;-0.160;-0.086;-0.230
 42    Ori;          ;05 35 23.1642;-04 50 18.088; 4.600;-0.193;-0.111;-0.260
 44iot Ori;          ;05 35 25.9825;-05 54 35.645; 2.780;-0.211;-0.149;-0.280
 46eps Ori;eps   Ori ;05 36 12.8134;-01 12 06.911; 1.720;-0.123;-0.108;-0.240
 40phi2Ori;          ;05 36 54.3879;+09 17 26.422; 4.090; 0.947; 0.746; 1.310
123zet Tau;zet   Tau ;05 37 38.6858;+21 08 33.177; 3.000;-0.150;-0.077;-0.130
 48sig Ori; 16610    ;05 38 44.7680;-02 36 00.248; 3.800;-0.240;-0.160;-0.310
 49    Ori;          ;05 38 53.0830;-07 12 46.184; 4.790; 0.139; 0.098; 0.210
 47ome Ori;ome   Ori ;05 39 11.1463;+04 07 17.281; 4.540;-0.115; 0.076;-0.287
   alp Col;  2549    ;05 39 38.9399;-34 04 26.788; 2.660;-0.091; 0.000;-0.090
 50zet Ori;  2553    ;05 40 45.5271;-01 56 33.260; 1.740;-0.199;-0.121;-0.270
 50zet Ori;          ;05 40 45.5712;-01 56 35.587; 4.210;      ;-0.121;
          ;  2556    ;05 40 50.7147;-01 07 43.634; 4.940;-0.196;-0.142;
126    Tau;  2560    ;05 41 17.7187;+16 32 02.932; 4.840;-0.126;-0.068;-0.130
 51    Ori;          ;05 42 28.6321;+01 28 28.664; 4.900; 1.157; 0.864; 1.490
 13gam Lep;          ;05 44 27.7904;-22 26 54.176; 3.600; 0.495; 0.450; 0.710
   del Dor;          ;05 44 46.3788;-65 44 07.893; 4.340; 0.223; 0.260; 0.430
 14zet Lep;          ;05 46 57.3408;-14 49 19.020; 3.550; 0.113; 0.074; 0.150
   bet Pic; 16683    ;05 47 17.0876;-51 03 59.451; 3.860; 0.180; 0.120; 0.280
 53kap Ori;  2641    ;05 47 45.3889;-09 40 10.577; 2.060;-0.116;-0.090;-0.210
132    Tau;  2650    ;05 49 00.9672;+24 34 03.126; 4.890; 1.013; 0.749;
 29tau Aur;          ;05 49 10.4381;+39 10 51.856; 4.520; 0.951; 0.711; 1.220
134    Tau;          ;05 49 32.9305;+12 39 04.765; 4.880;-0.059;-0.053;-0.060
   gam Pic;          ;05 49 49.6623;-56 09 59.987; 4.500; 1.088; 0.820; 1.360
   bet Col;          ;05 50 57.5929;-35 46 05.911; 3.110; 1.170; 0.850; 1.430
 31ups Aur;  2661    ;05 51 02.4374;+37 18 20.063; 4.730; 1.610; 1.341; 2.430
 15del Lep;          ;05 51 19.2958;-20 52 44.719; 3.780; 0.977; 0.860; 1.420
 32nu  Aur;          ;05 51 29.3990;+39 08 54.529; 3.970; 1.126; 0.799; 1.380
 56    Ori;  2690    ;05 52 26.4386;+01 51 18.482; 4.750; 1.381; 0.958;
   lam Col;lam   Col ;05 53 06.8812;-33 48 04.899; 4.870;-0.135;-0.070;-0.220
136    Tau;  2696    ;05 53 19.6461;+27 36 44.143; 4.560;-0.010;-0.006; 0.040
          ;          ;05 54 06.0549;-63 05 22.658; 4.650; 1.038; 0.810; 1.310
 54chi1Ori;chi 1 Ori ;05 54 22.9825;+20 16 34.228; 4.400; 0.597; 0.491; 0.820
 30xi  Aur; 16718    ;05 54 50.7821;+55 42 25.008; 4.970; 0.051; 0.029; 0.110
 58alp Ori;alp   Ori ;05 55 10.3053;+07 24 25.426; 0.570; 1.736; 1.498; 2.850
   xi  Col;          ;05 55 29.9172;-37 07 14.404; 4.960; 1.095;      ;
 16eta Lep;          ;05 56 24.2929;-14 10 03.721; 3.720; 0.333; 0.297; 0.490
   gam Col; 16739    ;05 57 32.2100;-35 16 59.807; 4.360;-0.162;-0.070;-0.240
139    Tau;          ;05 57 59.6558;+25 57 14.083; 4.830;-0.091;-0.010;-0.050
   eta Col;          ;05 59 08.8053;-42 48 54.488; 3.940; 1.144; 0.820; 1.400
 33del Aur;          ;05 59 31.6366;+54 17 04.762; 3.730; 1.011; 0.732; 1.270
 34bet Aur;bet   Aur ;05 59 31.7229;+44 56 50.758; 1.900; 0.072; 0.006; 0.070
 37the Aur;the   Aur ;05 59 43.2690;+37 12 45.307; 2.650;-0.083;-0.023;-0.060
 35pi  Aur;pi    Aur ;05 59 56.0994;+45 56 12.248; 4.330; 1.636; 1.756; 3.170
          ;  2770    ;06 00 03.3494;-03 04 27.313; 4.530; 1.214; 0.925; 1.600
 61mu  Ori;  2792    ;06 02 22.9988;+09 38 50.196; 4.130; 0.179; 0.132; 0.260
 62chi2Ori;chi 2 Ori ;06 03 55.1849;+20 08 18.427; 4.640; 0.228; 0.308; 0.530
  1    Gem; 16765    ;06 04 07.2082;+23 15 47.991; 4.180; 0.830; 0.639; 1.130
 17    Lep;SS    Lep ;06 04 59.1292;-16 29 03.965; 4.970; 0.186;      ;
 18the Lep;          ;06 06 09.3238;-14 56 06.915; 4.670; 0.044; 0.030; 0.090
 67nu  Ori;          ;06 07 34.3248;+14 46 06.498; 4.420;-0.159;-0.112;-0.230
   del Pic;del   Pic ;06 10 17.9089;-54 58 07.121; 4.720;-0.230;-0.120;-0.380
 70xi  Ori;          ;06 11 56.3958;+14 12 31.554; 4.460;-0.159;-0.106;-0.210
 69    Ori;          ;06 12 03.2795;+16 07 49.462; 4.960;-0.139;-0.090;-0.160
  5gam Mon;          ;06 14 51.3328;-06 16 29.194; 3.980; 1.327; 0.928; 1.610
  7eta Gem;eta   Gem ;06 14 52.6572;+22 30 24.476; 3.300; 1.560; 1.501; 2.800
 44kap Aur;  2877    ;06 15 22.6891;+29 29 53.074; 4.330; 1.019; 0.759; 1.340
   kap Col;  2897    ;06 16 33.1356;-35 08 25.867; 4.370; 0.987; 0.730; 1.240
          ;          ;06 18 50.7771;+69 19 11.234; 4.770; 0.020; 0.009; 0.060
  2    Lyn;UZ    Lyn ;06 19 37.3868;+59 00 39.472; 4.450; 0.028; 0.009; 0.050
          ;  2918    ;06 19 59.6001;-02 56 40.174; 4.920; 1.585; 1.340;
  1zet CMa;  2927    ;06 20 18.7925;-30 03 48.122; 3.020;-0.163;-0.050;-0.230
   del Col;          ;06 22 06.8282;-33 26 11.040; 3.850; 0.863; 0.670; 1.140
  2bet CMa;bet   CMa ;06 22 41.9853;-17 57 21.304; 1.960;-0.164;-0.140;-0.380
 13mu  Gem;mu    Gem ;06 22 57.6270;+22 30 48.909; 2.900; 1.592; 1.579; 2.950
  8eps Mon;          ;06 23 46.0855;+04 35 34.314; 4.410; 0.192; 0.146; 0.290
   alp Car;          ;06 23 57.1099;-52 41 44.378;-0.630; 0.173; 0.220; 0.400
 46psi1Aur;psi 1 Aur ;06 24 53.9027;+49 17 16.415; 4.950; 1.932; 1.418; 2.460
   lam CMa;          ;06 28 10.2079;-32 34 48.254; 4.470;-0.156;-0.060;-0.220
 11bet Mon;bet   Mon ;06 28 49.0700;-07 01 59.025; 4.640;-0.119;-0.021;-0.170
 18nu  Gem;          ;06 28 57.7867;+20 12 43.679; 4.140;-0.117;-0.062;-0.140
  4xi 1CMa;xi  1 CMa ;06 31 51.3665;-23 25 06.318; 4.330;-0.225;-0.120;-0.390
 13    Mon; 16904    ;06 32 54.2273;+07 19 58.674; 4.510;-0.005; 0.057; 0.140
          ;          ;06 34 58.5799;-52 58 32.185; 4.380;-0.023; 0.040; 0.180
  5xi 2CMa;          ;06 35 03.3882;-22 57 53.255; 4.530;-0.023; 0.040; 0.020
  7nu 2CMa;  3047    ;06 36 41.0374;-19 15 21.165; 3.950; 1.060; 0.780; 1.290
 24gam Gem;          ;06 37 42.7011;+16 23 57.308; 2.020;      ; 0.004; 0.050
   nu  Pup;  3062    ;06 37 45.6713;-43 11 45.361; 3.180;-0.098; 0.000;-0.070
  8nu 3CMa;          ;06 37 53.4217;-18 14 14.920; 4.430; 1.152; 0.860; 1.460
          ;          ;06 39 16.7192;-14 08 44.749; 4.820; 1.485; 1.081; 1.800
 50psi2Aur;          ;06 39 19.8263;+42 29 19.957; 4.790; 1.233; 0.874; 1.500
 15    Mon;S     Mon ;06 40 58.6607;+09 53 44.715; 4.670;-0.230;-0.139;-0.330
 27eps Gem;  3183    ;06 43 55.9260;+25 07 52.047; 3.010; 1.405; 0.901; 1.580
 30    Gem;          ;06 43 59.2927;+13 13 40.862; 4.490; 1.165; 0.852; 1.460
  9alp CMa; 17173    ;06 45 08.9173;-16 42 58.017;-1.440; 0.009; 0.000;-0.030
 31xi  Gem;  3193    ;06 45 17.3646;+12 53 44.128; 3.340; 0.457; 0.377; 0.620
 12    Lyn;          ;06 46 14.1319;+59 26 30.012; 4.870; 0.080; 0.061; 0.150
 17    Mon;          ;06 47 19.8306;+08 02 14.114; 4.770; 1.395; 1.015; 1.730
 18    Mon;          ;06 47 51.6493;+02 24 43.773; 4.470; 1.114; 0.775; 1.340
   alp Pic;          ;06 48 11.4523;-61 56 29.010; 3.250; 0.229; 0.230; 0.360
 13kap CMa;kap   CMa ;06 49 50.4591;-32 30 30.520; 3.530;-0.118;-0.020;-0.180
          ;V0415 Car ;06 49 51.3139;-53 37 20.818; 4.410; 0.906; 0.690; 1.140
   tau Pup;          ;06 49 56.1683;-50 36 52.415; 2.940; 1.206; 0.850; 1.450
 58psi7Aur;          ;06 50 45.9444;+41 46 52.428; 4.980; 1.258; 0.899;
          ;          ;06 50 52.3525;-34 22 02.347; 4.990; 1.381;      ;
 34the Gem;          ;06 52 47.3382;+33 57 40.514; 3.610; 0.117; 0.103; 0.180
 15    CMa;EY    CMa ;06 53 32.9074;-20 13 27.314; 4.820;-0.208;-0.120;-0.340
 16omi1CMa;omi 1 CMa ;06 54 07.9526;-24 11 03.159; 3.840; 1.756; 1.170; 1.990
 14the CMa;          ;06 54 11.3978;-12 02 19.060; 4.070; 1.431; 1.096; 1.910
 38    Gem;  3266    ;06 54 38.6359;+13 10 40.178; 4.700; 0.302; 0.279; 0.520
 19pi  CMa;  3285    ;06 55 37.4309;-20 08 11.389; 4.680; 0.366; 0.380; 0.570
 18mu  CMa;          ;06 56 06.6458;-14 02 36.347; 4.970; 1.190; 1.005;
 20iot CMa;iot   CMa ;06 56 08.2248;-17 03 15.272; 4.390;-0.076; 0.050;-0.020
          ; 17249    ;06 56 15.9905;-48 43 16.119; 4.950; 1.665; 1.480; 2.660
 15    Lyn;          ;06 57 16.6059;+58 25 21.934; 4.360; 0.842; 0.652; 1.090
 16    Lyn;  3293    ;06 57 37.1071;+45 05 38.739; 4.900; 0.034; 0.019; 0.060
 21eps CMa;          ;06 58 37.5484;-28 58 19.501; 1.530;-0.132;-0.090;-0.300
          ;          ;07 00 04.0374;+76 58 38.668; 4.540; 1.376; 1.016; 1.730
 22sig CMa;sig   CMa ;07 01 43.1477;-27 56 05.389; 3.470; 1.726; 1.320; 2.320
 19    Mon;V0637 Mon ;07 02 54.7767;-04 14 21.233; 4.980;-0.195;-0.118;-0.250
 24omi2CMa;omi 2 CMa ;07 03 01.4726;-23 49 59.847; 3.040;-0.089; 0.010;-0.080
 23gam CMa; 17305    ;07 03 45.4927;-15 37 59.830; 4.110;-0.112; 0.000;-0.100
          ;          ;07 03 53.6076;-49 35 02.111; 4.930; 0.128;      ;
 43zet Gem;zet   Gem ;07 04 06.5318;+20 34 13.069; 4.010; 0.892; 0.579; 0.930
 25del CMa;  3424    ;07 08 23.4843;-26 23 35.519; 1.840; 0.701; 0.510; 0.840
   gam2Vol;  3448    ;07 08 44.8660;-70 29 56.154; 3.760; 1.022; 0.720; 1.200
          ;  3431    ;07 08 51.0680;-39 39 20.364; 4.830;-0.167;-0.070;-0.220
 20    Mon;          ;07 10 13.6819;-04 14 13.582; 4.920; 1.007; 0.761; 1.310
 46tau Gem;  3437    ;07 11 08.3707;+30 14 42.587; 4.390; 1.273; 0.876; 1.600
 63    Aur;          ;07 11 39.3257;+39 19 13.976; 4.890; 1.463; 1.091; 1.900
 22del Mon;          ;07 11 51.8602;-00 29 33.952; 4.150; 0.003; 0.010; 0.070
          ;QW    Pup ;07 12 33.6255;-46 45 33.498; 4.500; 0.321; 0.320; 0.540
          ;OU    Pup ;07 13 13.3505;-45 10 57.861; 4.890;-0.009;      ;
          ;L   2 Pup ;07 13 32.3187;-44 38 23.060; 4.510; 1.308; 2.610; 5.030
 27    CMa;EW    CMa ;07 14 15.2144;-26 21 09.066; 4.450;-0.196; 0.010;-0.350
          ;          ;07 14 38.1408;-48 16 18.936; 4.750;-0.081;-0.010;-0.090
 28ome CMa;ome   CMa ;07 14 48.6541;-26 46 21.603; 4.040;-0.163; 0.020;-0.350
          ; 17409    ;07 16 34.9932;-27 52 52.244; 4.670; 1.555; 1.480; 2.730
          ;  3503    ;07 16 36.8338;-23 18 56.139; 4.820; 1.694; 1.310; 2.270
   del Vol;          ;07 16 49.8244;-67 57 25.747; 3.970; 0.774; 0.660; 1.040
   pi  Pup;pi    Pup ;07 17 08.5564;-37 05 50.892; 2.710; 1.592; 1.240; 2.150
 54lam Gem;  3512    ;07 18 05.5787;+16 32 25.379; 3.580; 0.114; 0.072; 0.170
